City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Tairua,NZ,-37.0167,175.85,61.0,87,100,15.01,overcast clouds
149,Meulaboh,ID,4.1363,96.1285,75.61,88,100,4.45,overcast clouds
150,Namikupa,TZ,-10.8333,39.6,66.54,78,67,2.91,broken clouds
151,Coari,BR,-4.085,-63.1414,87.89,58,78,2.98,broken clouds
152,Yuanping,CN,38.7153,112.7575,69.57,30,100,1.61,overcast clouds
153,Sept-Iles,CA,50.2001,-66.3821,59.25,69,75,10.0,broken clouds
154,Port Hardy,CA,50.6996,-127.4199,51.98,87,90,10.36,light rain
155,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,77,99,4.61,overcast clouds
156,Kimbe,PG,-5.5502,150.1429,75.15,92,98,3.49,overcast clouds
157,Klaksvik,FO,62.2266,-6.589,48.2,100,90,10.36,fog
158,Palkonda,IN,18.6,83.75,85.89,72,30,6.24,scattered clouds
159,Yumen,CN,40.2833,97.2,63.97,29,5,10.78,clear sky
160,Bouar,CF,5.934,15.596,67.17,96,74,3.47,light rain
161,Lata,PT,40.1629,-8.3327,79.03,47,0,7.25,clear sky
162,Pochutla,MX,15.7432,-96.4661,92.82,51,63,8.9,broken clouds
163,Hualmay,PE,-11.0964,-77.6139,69.44,67,66,8.63,broken clouds
164,Puerto Carreno,CO,6.189,-67.4859,90.64,55,73,1.36,moderate rain
165,Itacoatiara,BR,-3.1431,-58.4442,92.21,46,55,4.68,broken clouds
166,Poum,NC,-20.2333,164.0167,72.63,61,96,18.63,overcast clouds
167,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,74,30,14.63,scattered clouds
168,Kupang,ID,-10.1667,123.5833,75.65,77,89,10.74,overcast clouds
169,Saint-Pierre,RE,-21.3393,55.4781,71.29,80,75,4.61,light rain
170,Aviles,ES,43.5547,-5.9248,64.76,72,40,5.01,scattered clouds
171,Lasa,IT,46.6166,10.7002,66.11,87,99,3.13,overcast clouds
172,Yenagoa,NG,4.9247,6.2642,73.56,96,100,3.83,overcast clouds
173,Mandali,IQ,33.7499,45.5541,92.62,12,0,12.26,clear sky
174,Tagusao,PH,9.1924,117.8141,81.3,83,100,6.87,overcast clouds
