City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Kisangani,CD,71.19,overcast clouds,0.5167,25.2,Grand Ramela Hotel
552,Tawau,MY,75.33,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
556,Quang Ngai,VN,79.7,overcast clouds,15.1167,108.8,Central Hotel
557,Karaton,ID,78.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
564,Ouesso,CG,70.48,overcast clouds,1.6136,16.0517,Hôtel LAVOUMA suite
565,Baculin,PH,76.98,overcast clouds,7.4525,126.5842,Shovy's Cove
569,Sinnamary,GF,76.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
571,Lorengau,PG,79.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
577,Pringsewu,ID,73.65,overcast clouds,-5.3582,104.9744,Urban Style by Front One
578,Hobyo,SO,79.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
582,Praia,CV,78.8,few clouds,14.9215,-23.5087,LT Aparthotel
587,Halifax,CA,78.69,broken clouds,44.6453,-63.5724,Hotel Halifax
592,Rio Novo Do Sul,BR,78.26,overcast clouds,-20.8625,-40.9364,Pousada Três Irmãs
595,Elos,GR,75.18,overcast clouds,36.8327,22.6983,Ξενοδοχείο Όαση/ Oasis Hotel
602,Banda Aceh,ID,79.93,overcast clouds,5.5577,95.3222,Sulthan Hotel International
605,Mankachar,IN,78.76,moderate rain,25.5333,89.8667,Aman mankachar
616,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
617,Majene,ID,78.08,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
619,Kerekegyhaza,HU,75.83,clear sky,46.9372,19.4781,Sahara Ferienwohnung
624,Ajdabiya,LY,73.58,clear sky,30.7554,20.2263,Almadina Hotel
648,Neiafu,TO,74.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
650,Maumere,ID,77.61,overcast clouds,-8.6199,122.2111,Sylvia Hotel
651,Florence,IT,74.88,few clouds,43.7667,11.25,Italiana Hotels Florence
657,Amarkantak,IN,77.59,clear sky,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
662,Ambilobe,MG,71.82,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
